Pregunta Nº,Tema,Pregunta,Respuesta correcta,Respuesta incorrecta 1,Respuesta incorrecta 2,Descripción (mensaje que se obtiene al elegir la respuesta)
1,Política Nacional,¿En qué año se comenzó a aplicar el esquema de pago de ganancias conocido como la 'Tablita de Machinea'?,2000,1990,1980,"La reforma tributaria impulsada por el gobierno de la Alianza fue aprobada por el Congreso en diciembre de 1999, pero empezó a regir a partir del año 2000."
2,Política Nacional,¿Quién es hoy el presidente del PJ Bonaerense?,Maximo Kirchner ,Veronica Magario,Gustavo Menéndez,"Maximo Kirchner, asumió como presidente del PJ bonaerense en diciembre de 2021 y permanece en el cargo desde entonces."
3,Política Nacional,¿Quién fue el primer ministro de Economía de Néstor Kirchner en 2003?,Roberto Lavagna,Jorge Remes Lenicov,Miguel Peirano,Lavagna asumió como ministro de Economía y Producción en abril de 2002 durante la Presidencia interina de Duhalde. N. Kirchner lo confirmó en el cargo en 2003. 
4,Política Nacional,¿Qué vicepresidente renunció en el año 2000?,"Carlos ""Chacho"" Álvarez",Graciela Fernández Meijide,José Machinea,"Carlos Álvarez renunció en forma indeclinable a su cargo el 6 de octubre de 2000, había sido electo sólo un año antes."
5,Política Nacional,¿Quién ocupa el juzgado federal con competencia en las elecciones? ,María Servini de Cubría,Daniel Rafecas,Marcelo Martínez de Giorgi,Servini de Cubría ocupa el Juzgado Federal nro 1 desde noviembre de 1990.
6,Política Nacional,"¿En qué ciudad se organizó el cónclave de la UCR que definió la integración radical a Cambiemos, en 2015?",Gualeguaychú,Paraná,Zárate,"En la Convención de Gualeguaychú, con el aval de 186 delegados sobre 330, la UCR decidió formar una alianza con el PRO y la Coalición Cívica que llamarían ""Cambiemos""."
7,Política Nacional,¿Qué ministro estuvo en su cargo durante la gestión de Mauricio Macri y la de Cristina Kirchner?,Lino Barañao,Alberto Fernández,Oscar Aguad,"Barañao fue único ministro que tuvo continuidad entre gestiones, ocupó el Ministerio de Ciencia por más de 10 años."
8,Política Nacional,¿Qué ex-futbolista fue Secretario de Deportes?,Roberto Perfumo,Norberto Alonso,Diego Latorre,"Perfumo fue Secretario de Deportes durante la presidencia de Néstor Kirchner, fue sucedido por Claudio Morresi, otro ex futbolista."
9,Política Nacional,¿Quién es el gobernador de Misiones?,Oscar Herrera Ahuad,Maurice Closs,Hugo Passalacqua,"El actual gobernador de Misiones es Oscar Herrera Ahuad, quien será sustituido el 10 de diciembre de 2023 por Hugo Passalacqua, gobernador electo."
10,Política Nacional,¿Quién es el gobernador de Córdoba?,Juan Schiaretti,Martín Llaryora,Luis Juez,"Hasta el 10 de diciembre de 2023, el gobernador de Córdoba es Juan Schiaretti, luego de esa fecha será sucedido por Martín Llaryora, gobernador electo."
11,Política Nacional,¿Quién fue la primera gobernadora electa de Argentina?,Fabiana Ríos,Lucía Corpacci,Rosana Bertone,"Fabiana Ríos fue la primera mujer electa gobernadora de una provincia, en Tierra del Fuego en 2007."
12,Política Nacional,¿Qué candidato ocupó el primer puesto en las elecciones presidenciales de 2003?,Carlos Menem,Néstor Kirchner,Ricardo López Murphy,"Menem obtuvo el 24% de los votos, frente al 22% de Kirchner y al 16% de López Murphy. "
13,Política Nacional,¿Cuántas mujeres fueron electas gobernadoras de alguna provincia en toda la historia?,7,9,19,"Fabiana Ríos (T. del Fuego), Lucía Corpacci (Catamarca), Claudia Ledesma Abdala (Santiago del Estero), Ma. Eugenia Vidal (Buenos Aires), Alicia Kirchner (Sta Cruz), Rosana Bertone (T. del Fuego) y Arabela Marisa Carreras (Río Negro) encabezaron la fórmula para la gobernación y ganaron. "
14,Política Nacional,¿Qué partido del Conurbano Bonaerense cuenta con la misma familia en la intendencia desde 1983?,San Isidro,La Matanza,Lomas de Zamora,"En 1999, Gustavo Posse fue electo Intendente de San Isidro y, desde entonces, ocupa el cargo. Antes de él, el distrito lo gobernó su padre, Melchor Posse, durante 16 años. En 2023, la candidata es Macarena Posse, hija de Gustavo, nieta de Melchor."
15,Política Nacional,¿Qué presidente/a firmó un mayor número de Decretos de Necesidad y Urgencia (DNU)?,Néstor Kirchner,Mauricio Macri,Alberto Fernandez ,Néstor Kirchner firmó 236 decretos en 4 años de presidencia.
17,Política Nacional,De las siguientes provincias ¿cuál está gobernada por Juntos por el Cambio?,Jujuy,Córdoba,Tierra del Fuego,"Gerardo Morales es gobernador de Jujuy desde el 10 de diciembre de 2015. A partir del 10 de diciembre de 2023, la provincia estara a cargo de Carlos Sadir, gobernador electo, también de Juntos."
18,Política Nacional,¿Quién fue la primera candidata a diputada en Argentina en el año 1919?,Julieta Lanteri,Alicia Moreau de Justo,Elvira Rawson,Lanteri es también la fundadora del Partido Feminista Nacional.
19,Política Nacional,¿Qué ministro de la actual Corte Suprema fue convencional constituyente en la reforma de 1994?,Juan Carlos Maqueda,Carlos Rosenkrantz,Ricardo Lorenzetti,"En 1994, se reformó la Constitución Nacional. Entre lo integrantes de la Convención Constituyente se encontraban los actuales jueces de la Corte Juan Maqueda y Horacio Rosatti."
20,Política Nacional,¿Cuántos ministerios existen actualmente en la Argentina?,19,21,11,"Incluyendo a la Jefatura de gabinete, Argentina tiene 19 ministerios nacionales. Hasta el 2022 el gobierno de Alberto Fernández contó con 21 ministerios, pero el número se redujo con la unificación de los ministerios de Agricultura y Producción al Ministerio de Economia."
21,Política Nacional,"¿Qué ciudadano argentino fue parlamentario, juez de la corte, gobernador, presidente y vicepresidente de la Nación?",José Figueroa Alcorta,Faustino Sarmiento,Nadie,"Figuero Alcorta fue diputado nacional, senador nacional, gobernador de Córdoba, vicepresidente y presidente de la Nación. También, fue juez de la Corte Suprema."
22,Política Nacional,¿Quién es el actual ministro de Defensa?,Jorge Taiana,Agustín Rossi,Martín Soria,"Jorge Taiana asumió como ministro de Defensa el 10 de agosto de 2021, en reemplazo de Agustín Rossi."
23,Política Nacional,¿Cuántos ministerios están liderados por mujeres actualmente?,4,3,5,"Carla Vizzotti es la titular del Ministerio de Salud, Raquel ""Kelly"" Olmos del Ministerio del Trabajo, Victoria Tolosa Paz se encuentra al frente del Ministerio de Desarrollo Social y Ayelén Mazzina en el Ministerio de las Mujeres. Son 4 sobre 21 ministerios."
24,Política Nacional,¿Quién es el jefe de gabinete del gobernador Axel Kicillof?,Martín Insaurralde,Mariano Cascallares,Fernando Espinoza,Martín Insaurralde asumió como jefe de gabinete de Axel Kicillof el 20 de septiembre de 2021. Hasta ese entonces estaba a cargo de la intendencia de Lomas de Zamora.
25,Política Nacional,¿Quién es el actual ministro de Cultura?,Tristán Bauer,Pablo Avelluto,Lino Barañao,Tristán Bauer es el ministro de Cultura desde el 10 de diciembre de 2019.
26,Política Nacional,¿Quién preside la comisión de Presupuesto y Hacienda de la Cámara de Diputados?,Carlos Heller,Roberto Feletti,Gustavo Marconatto,"Carlos Heller, diputado nacional por la Ciudad de Buenos Aires, del Frente de Todos preside la comisión desde diciembre 2019. Anteriormente la presidió Luciano Laspina (PRO-Santa Fe). "
27,Política Nacional,¿Quién es el gobernador de la provincia de Salta?,Gustavo Saenz,Emiliano Estrada,Juan Manuel Urtubey,"Gustavo Sáenz es gobernador de Salta. En mayo de 2023 fue reelecto y gobernará la provincia hasta 2027.
"
28,Política Nacional,¿Quién es la presidenta del PRO?,Patricia Bullrich,Gladys González,Elisa Carrió,Patricia Bullrich es presidenta del PRO desde el 5 de febrero de 2020.
29,Política Nacional,¿A qué partido pertenece el gobernador de San Juan Sergio Uñac?,Partido Justicialista,Unión Cívica Radical,PRO,"El Partido Justicialista gobierna la provincia desde 2003, de la mano de José Luis Gioja (2003-2015) y, ahora, con Sergio Uñac (2019-presente). La provincia elegirá a un nuevo gobernador el 2 de julio. La Corte Suprema le impidió a Uñac ir por una reelección."
30,Política Nacional,¿Quien es el/la presidente provisional del Senado actualmente?,Claudia Ledesma Abdala,Cristina Fernández de Kirchner,Ines Imelda Blas,Ledesma Abdala es senadora por la provincia de Santiago del Estero y su mandato es 2019-2025. Anteriormente fue diputada nacional (2017-2019) y gobernadora de la provincia (2013-2017).
,,,,,,
1,Frases Memorables,¿Quién dijo “dentro de poco llegaremos de Argentina a Japón en una hora volando en cohete por la estratosfera”?,Carlos Menem,Néstor Kirchner,Mauricio Macri,"En 1996, el presidente Carlos Menem anticipó que ""en el corto plazo"" se iba a licitar un sistema de vuelos espaciales para comunicar Argentina con otros destinos, en tiempo récord."
2,Frases Memorables,"¿Quién dijo ""el peronismo triunfará conmigo o sinmigo”?",Herminio Iglesias,Fernando Iglesias,Evaristo Iglesias,"La frase corresponde a Herminio Iglesias, candidato a Gobernador bonaerense en la campaña de 1983."
3,Frases Memorables,"¿Quién dijo “que se pierdan cien gobiernos, pero que se salven los principios”?",Hipólito Yrigoyen,Raúl Alfonsín,Ricardo Alfonsín,"La frase está atribuida a Hipólito Yrigoyen, en 1916, año en que ganó la presidencia argentina"
4,Frases Memorables,"¿Quién dijo  “a vos no te va tan mal, gordito”?",Raúl Alfonsín,Patricia Bullrich,Aníbal Fernández,"En un acto en Chos Malal, en 1987, en medio del discurso sobre el traslado de la Capital Federal a Viedma, Raúl Alfonsín tuvo un contrapunto con un asistente enojado. "
5,Frases Memorables,"¿Quién dijo ""debo ser la reencarnación de un gran arquitecto egipcio""?",Cristina Kirchner,Guillermo Moreno,Axel Kicillof,"En 2012, mientras anunciaba las obras del polo audiovisual, en la Isla de Marchi, CFK reveló su entusiasmo por construir y diseñar estructuras."
6,Frases Memorables,"¿Quièn dijo ""qué lindo es dar buenas noticias""?",Fernando de la Rúa,Eduardo Duhalde,Mauricio Macri,"El entonces presidente Fernando de la Rúa, manifestó su felicidad en un spot en el que anunciaba el ""Blindaje 2000"", otorgado por el FMI, en diciembre del año 2000."
7,Frases Memorables,"¿Quién dijo ""no habrá devaluación brusca, la tendencia de los últimos días se acaba esta semana”?",Celestino Rodrigo,Axel Kicillof,Nicolás Dujovne,"Celestino Rodrigo, ministro de Economía de Martínez de Perón, es recordado por una brusca devaluación del peso de más del 60%, :el ""Rodrigazo""."
8,Frases Memorables,"¿Qué candidato hizo campaña ""por los niños pobres que tienen hambre y por los niños ricos que tienen tristeza”?",Carlos Menem,Eduardo Duhalde,Fernando De la Rúa,"En la campaña presidencial de 1989, Carlos Menem hizo una larga enumeración en la que también recordó a los ""jubilados"", ""desempleados"" y ""personas sin techo""."
9,Frases Memorables,"¿Quién dijo ""si el mercado quiere dólares, le vamos a dar con el látigo”?",José Machinea,Guillermo Moreno,Nicolás Dujovne,"José Luis Machinea, presidente del Banco Central, no pudo frenar a latigazos la corrida bancaria de 1989."
10,Frases Memorables,"¿Quién dijo ""este viejo adversario despide a un amigo""?",Ricardo Balbín,Juan Domingo Perón,Arturo U. Illia,"La frase está atribuida a Hipólito Irigoyen, en 1916, año en que ganó la presidencia argentina."
11,Frases Memorables,"¿Quién dijo ""aquí no hay crisis, ni problemas"" en octubre del 2000?",Fernando De la Rúa,Carlos Álvarez,Eduardo Duhalde,Fernando De la Rúa envió este mensaje a la ciudadanía para transmitir tranquilidad.
12,Frases Memorables,"¿Quíen dijo ""señor Presidente, como Jesús dijo a sus discípulos: lo que haya que hacer, hagámoslo rápido""?",Miguel Ángel Pichetto,Julio Cobos,Ernesto Sanz,"En la sesión del Senado en la que se discutió la 125, esquema de retenciones móviles para el agro, Miguel Pichetto tuvo un momento bíblico justo antes del voto ""no positivo"" de Cobos"
13,Frases Memorables,"¿Quién dijo, en octubre del 2000, ""aquí no hay crisis, ni problemas""?",Fernando De la Rúa,Carlos Álvarez,Eduardo Duhalde,Fernando De la Rúa envió este mensaje a la ciudadanía para transmitir tranquilidad.
14,Frases Memorables,"¿Quién dijo ""no me gusta el timbreo""?",Emilio Monzó,Federico Pinedo,Felipe Solá,"En una sesión de Diputados, los legisladores le pidieron al Presidente de la Cámara que llame al orden tocando la campana y Monzó respondió con una ironía: ""no me gusta el timbreo""."
15,Frases Memorables,"¿Quién dijo ""los bancos tendrán que abrir sus puertas y que sea lo que Dios quiera”?",Eduardo Duhalde,Mauricio Macri,Alberto Fenández,"Luego del ""corralito"" y diciembre de 2001, el entonces presidente Eduardo Duhalde usó esta frase para presionar a un Congreso que no quiso aprobar sus reformas económicas."
16,Frases Memorables,"¿Quién dijo ""los brasileros salieron de la selva""?",Alberto Fenández,Mauricio Macri,Néstor Kirchner,"En una conferencia de prensa, Alberto Fernández dijo ""los mexicanos salieron de los indios, los brasileros salieron de la selva, pero nosotros los argentinos llegamos de los barcos""."
17,Frases Memorables,"¿Quién dijo ""en campaña saben hasta la fórmula de la Coca Cola, después no saben hacer ni un mate cocido""? ",Cristina Kirchner,Axel Kicillof,María Eugenia Vidal,"En 2014,  en un acto en Formosa, Cristina Kirchner se refirió a la diferencia entre la campaña y la gestión.   "
18,Frases Memorables,"¿Quién dijo ""llevo en mis oídos la más maravillosa música que, para mí, es la palabra del pueblo argentino""?",Juan D. Perón,Eva Perón,Arturo Frondizi,"En 1974, al cierre del que sería su último discurso desde el balcón de la Rosada, Juan Domingo Perón pronunció esta frase, que sonó como un adiós. "
19,Frases Memorables,"¿Quién dijo ""hay que pasar el invierno""?",Alvaro Alsogaray,Domingo Cavallo,Martín Guzmán,"En 1959, el Ministro de Economía Álvaro Alsogaray presentó su ""“Plan de Estabilidad y Desarrollo”"" y el frío del invierno congeló los bolsillos."
20,Frases Memorables,"¿Quién dijo ""tenemos que tratar de no robar, por lo menos, dos años en este país""?",Luis Barrionuevo,Hugo Moyano,Elisa Carrió,"En 1990, en horario central de la televisión, el sindicalista Luis Barrionuevo compartió esta idea como una medida para ""sacar al país adelante""."
21,Frases Memorables,"¿Quién dijo ""con la democracia se cura, se come y se educa""?",Raúl Alfonsín,Carlos Menem,Fernando de la Rúa,"Raúl Alfonsín pronunció estas palabras cuando asumió como Presidente, el 10 de diciembre de 1983."
22,Frases Memorables,"¿Quién dijo ""el que depositó dólares, recibirá dólares""?",Eduardo Duhalde,Adolfo Rodríguez Saá,Ramón Puerta,"Eduardo Duhalde dijo esta frase en el marco de su asunción como Presidente el 2 de enero de 2002, luego del ""corralito"" y de los eventos de diciembre de 2001."
23,Frases Memorables,"¿Quién dijo ""tenemos el mejor equipo de los últimos 50 años""?",Mauricio Macri,Alberto Fernández,Néstor Kirchner,"El 2 de diciembre de 2015, ocho días antes de asumir como Presidente de la Nación, Mauricio Macri presentó a su gabinete con esta frase."
24,Frases Memorables,"¿Quién dijo ""veníamos bien, pero pasaron cosas""?",Mauricio Macri,Rogelio Frigerio,Patricia Bullrich,"En una entrevista con Jorge Lanata en junio de 2018, Mauricio Macri opinó sobre el aumento de la inflación y la devaluación del peso."
25,Frases Memorables,"¿Quién dijo ""nadie nos va a robar la Republiquita porque está muy sana""?",Elisa Carrió,Mauricio Macri,Axel Kicillof,Carrió esbozó esta frase durante una reunión del gabinete ampliado de Mauricio Macri en agosto de 2019.
26,Frases Memorables,"¿Quién dijo , refiriendosé al Riachuelo, ""vamos a ir allí a pasear en barco, a tomar mate, a bañarnos y a pescar""?",Carlos Menem,Mauricio Macri,Domingo Cavallo,El entonces Presidente Menem exageró la eficacia de la política de saneamiento del Riachuelo que impulsó a principios de los 90s.
27,Frases Memorables,"¿Quién dijo ""que toda la Argentina se enamore de Christine Lagarde""?",Mauricio Macri,Alfonso Prat-Gay,Nicolás Dujovne,"En 2018, Mauricio Macri habló de ""la gran relación"" que tenía con la entonces titular del Fondo Monetario Internacional."
28,Frases Memorables,"¿Quién dijo ""solo hay que tenerle temor a Dios, y a mí un poquito también?""",Cristina Kirchner,Mauricio Macri,Néstor Kirchner,"La entonces presidenta Cristina Kirchner, en un discurso en 2012, le recordó a funcionarios nacionales dónde dirigir sus temores."
29,Frases Memorables,"""Quién dijo ""Qué vocación de colonia, hermano""?",Cristina Kirchner,Santiago Cafiero,Aníbal Fernández,"En el acto de conmemoración del 25 de Mayo, la actual vicepresidenta usó esta frase para referirse a algunos dirigentes que se pusieron ""contentos"" por la flexibilización de legislaciones que regulan la extracción de litio."
30,Frases Memorables,"¿Quién dijo ""Suiza es más tranquilo, pero más aburrido""?",Sabina Frederic,Aníbal Fernández,Sergio Berni,La ex titular del Ministerio de Seguridad dijo esta frase en agosto de 2021 al hablar sobre la inseguridad en Argentina.
,,,,,,
1,Legislativas,¿Quienes forman la Asamblea Legislativa?,Diputados + Senado ,Senado + Gabinete,sólo el Senado,"Asamblea Legislativa es la reunión conjunta y simultánea de la Cámara de Senadores y de la Cámara de Diputados. Se reúne los 1ro de marzo de cada año, para dar comienzo a las sesiones. "
2,Legislativas,¿Quién preside la Cámara de Diputados?,Cecilia Moreau,Máximo Kirchner,Anibal Fernández,"Cecilia Moreau preside la Cámara de Diputados desde el 2 de agosto de 2022, tras la renuncia de Sergio Massa que abandonó el cargo para asumir como Ministro de Economía."
3,Legislativas,¿Qué período legislativo comenzó el 1 de marzo de 2023?,141,125,143,"Es el período 141. El primero fue en el año 1862, el primer mensaje al Congreso fue dirigido en 1863 por el entonces Presidente Bartolomé Mitre."
4,Legislativas,¿En qué año el Congreso sancionó más leyes?,2020,2021,2022,"En 2020, el Congreso sesionó 48 veces y aprobó 65 leyes, un 56% mas que en 2022. "
5,Legislativas,¿En qué año se inauguró el edificio del Palacio del Congreso?,En 1906,En 1896,En 1946,"La obra se inició en 1897, pero el Palacio fue inaugurado el 12 de mayo de 1906, en la apertura del 45º Período Legislativo. La obra fue concluida en 1946."
6,Legislativas,Además de legisladores y funcionarios autorizados ¿Quiénes pueden participar de una sesión secreta en el Congreso?,Taquígrafos,Prensa autorizada por la cámara,Nadie más puede participar,Taquígrafas y taquígrafos. Tienen que jurar guardar el secreto.
7,Legislativas,¿Cuántas veces se puede renovar una banca en el Congreso?,No tiene límites,Solo dos,Solo dos consecutivas,"Como en muchos otros países, las bancas en el Congreso pueden ser renovadas indefinidamente."
8,Legislativas,"Según la Constitución, ¿Qué edad es necesaria para aspirar a una banca en el Senado?",30,18,35,"Según el artículo 55 de la Constitución, para integrar el Senado es necesario ser elegidos senador ""tener la edad de treinta años"""
9,Legislativas,¿Cuál de los siguientes no pertenece al Poder Legislativo?,Sindicatura General de la Nación (SIGEN),Auditoría General de la Nación (AGN),Biblioteca del Congreso,La Sindicatura General de la Nación (SIGEN) es el órgano rector del sistema de control interno de la gestión del sector público y es parte del Poder Ejecutivo .
10,Legislativas,¿Por qué Cámara ingresan las iniciativas populares?,Diputados,Senado,Se sortea,Las iniciativas populares deben ingresar por la Cámara de Diputados. La Cámara tiene la obligación de tratar el proyecto para aprobarlo o rechazarlo.
11,Legislativas,"¿Según la Constitución, cada cuántos años debería reverse la conformación de la Cámara de Diputados?",Después de cada censo,Cada 10 años,Cuando se sanciona una ley al respecto,"Después de cada censo nacional se actualiza la cantidad de bancas en la Cámara de Diputados, con el criterio de que a ningún distrito se le puede disminuir la cantidad de bancas. Sin embargo, no es algo que suceda en la práctica. "
12,Legislativas,¿Qué porcentaje del total de la Cámara de Diputados son mujeres?,44%,38%,"55,5%","De acuerdo al Directorio Legislativo 2022-2023, 115 de 257 bancas (el 44%) están ocupadas por mujeres."
13,Legislativas,¿Cuál es la carrera universitaria más elegida por los actuales legisladores del Congreso?,Abogacía,Ciencias Políticas,Ingeniería,"De acuerdo al Directorio Legislativo 2022-2023, de un total de 72 senadores, 22 estudiaron abogacía. Es la carrera universitaria más elegida en el Senado."
14,Legislativas,¿Qué porcentaje de los actuales diputados declaró haber tenido una actividad parlamentaria previa a asumir su banca?,33%,37%,53%,El 33% de la Cámara declara haber tenido actividad parlamentaria previa. Este dato surge de la información recabada en el Directorio Legislativo 2022-2023.
15,Legislativas,¿Cuántos años tenía Carlos Menem cuando asumió como senador en 2017?,87,84,81,Carlos Menem fue el senador de mayor edad en la historia del Congreso al asumir su cargo en 2017 con 87 años.
16,Legislativas,"De las cuatro autoridades de la Cámara de Diputados, ¿cuántas son mujeres?",1,0,2,"Desde agosto de 2022 la Cámara de Diputados es presidida por una mujer, Cecilia Moreau. "
17,Legislativas,"De las cinco autoridades de la Cámara de Senadores, ¿cuántas son mujeres?",3,2,0,"La presidenta es Cristina Kirchner,  Claudia Ledesma Abdala de Sgo del Estero es la presidenta provisional, y Guadalupe Tagliaferri de la Ciudad Autónoma de Buenos Aires es vicepresidenta segunda. "
18,Legislativas,¿Cuántos mandatos como diputada ha tenido Graciela Camaño?,8,7,6,8 mandatos (1987-91; 1997-2001; 2001-02; 2003-07; 2007-11; 2011-15; 2015-19; 2019-2023).
19,Legislativas,¿Cuántos legisladores han sido desaforados desde el retorno de la democracia?,3,6,1,"Formalmente fueron desaforadas tres personas en la Cámara de Diputados: Angeloz, Patti y De Vido. El represor Luis Patti fue desaforado antes de jurar como diputado."
20,Legislativas,¿Qué Jefe de Gabinete asistió más veces a dar su informe de gestión al Congreso?,Marcos Peña,Jorge Capitanich,Agustín Rossi,"Entre 2016 y 2019, Marcos Peña asistió 20 veces al Congreso, 11 veces a la Cámara de Diputados y 9 veces al Senado. Es el jefe de Gabinete que más veces asistió al Congreso."
21,Legislativas,¿Cuál de las siguientes no es más senadora?,Cristina Kirchner,Juliana Di Tullio,Gladys González,"Cristina Kirchner es la presidenta del Senado por su cargo en funciones como vicepresidenta de la Nación. Desde 2019, no es más senadora."
22,Legislativas,¿Cuántos períodos legislativos tiene vigencia un pedido de juicio político?,3,2,No caducan,Los pedidos de juicio político son proyectos de resolución con la particularidad de que tienen 3 años de vigencia.
23,Legislativas,¿Qué legislador actual fue medallista olímpico?,Carlos Espínola,Daniel Scioli,Carlos Castagneto,"En Atlanta, Sídney, Atenas y Pekín, ""Camau"" Espínola ganó cuatro medallas olímpicas, dos de plata y dos de bronce."
24,Legislativas,¿Por qué distrito es senador Mariano Recalde?,Ciudad Autónoma de Buenos Aires,Buenos Aires,Santa Fe,"En diciembre de 2019, Recalde asumió como senador nacional por la Ciudad Autónoma de Buenos Aires. Previamente, fue Presidente de Aerolíneas Argentinas y legislador porteño."
25,Legislativas,¿Por qué distrito es senadora Gladys González?,Buenos Aires,Ciudad Autónoma de Buenos Aires,Santa Fe,"En diciembre de 2017 asumió como senador nacional por la Provincia de Buenos Aires. Previamente, fue diputada por el mismo distrito."
27,Legislativas,¿Por qué distrito fue senadora Cristina Kirchner entre 2001 y 2005?,Santa Cruz,Buenos Aires,Ciudad Autónoma de Buenos Aires,"En 2001 fue electa Senadora por Santa Cruz. En el período anterior, entre 1997 y 2001, fue diputada nacional por el mismo distrito."
28,Legislativas,¿Cuántas veces fue elegido Carlos Menem como senador por La Rioja?,Tres,Cinco,Dos,Carlos Menem ingresó al Senado el 10 de diciembre de 2005. Renovó su banca en 2011 y en 2017.
29,Legislativas,¿Cuál fue el último presidente no bonaerense de la Cámara de Diputados?,Eduardo Fellner,Julián Domínguez,Eduardo Camaño,"El último presidente no bonaerense de la Cámara fue Eduardo Fellner de Jujuy. Luego lo sucedieron los bonaerenses Julián Domínguez, Emilio Monzó, Sergio Massa y, ahora, Cecilia Moreau."
30,Legislativas,¿Quién presidió la Cámara de Diputados entre 2019 y 2022?,Sergio Massa,Emilio Monzo,Cristina Kirchner,"Sergio Massa fue el presidente de la Cámara de Diputados desde diciembre de 2019 a 2022. Fue sucedido por Cecilia Moreau, cuando Massa dejó su puesto para ocuparse del Ministerio de Economía. "
,,,,,,
1,Latinoamérica,¿Quién es el presidente de Perú?,Dina Boluarte,Martín Vizcarra,Pedro Castillo,"Dina Boluarte ocupa la presidencia (por sucesión) de la República del Perú desde diciembre de 2022, luego de que Pedro Castillo fuera destituido por el Congreso tras el intento de Castillo de instaurar un ""gobierno de excepción""."
2,Latinoamérica,¿Quién es el presidente de Ecuador?,Guillermo Lasso,Lenín Moreno,Rafael Correa,"Guillermo Lasso es el presidente de Ecuador desde julio de 2021, luego de ganar por balotaje con el 52,36% de votos. El 20 de Agosto se llevarán a cabo elecciones anticipadas que definirán el próximo presidente."
3,Latinoamérica,¿Cuál de los siguientes países tienen un poder legislativo unicameral?,Perú,Bolivia,Paraguay,"Desde el año 1995, Perú tiene un Congreso unicameral. La eliminación de una cámara se estableció con la reforma constitucional del 93."
4,Latinoamérica,¿A partir de qué año podrán ser reelectos los senadores mexicanos?,Desde 2024,No pueden,Desde 1917,"En 2014 el Congreso mexicano aprobó una reforma política que habilita la reelección de senadores, a partir de los comicios de 2024."
5,Latinoamérica,En México los proyectos de ley se distinguen por:,Título,Número,Color,Los proyectos de ley en México no tienen número. Se identifican según su título.
6,Latinoamérica,¿Cuál de los siguientes países no publica los proyectos de ley del Congreso?,Honduras,Guatemala,Venezuela,Los proyectos de ley en Honduras son accesibles solo mediante un pedido de acceso a la información pública.
7,Latinoamérica,¿Cuanto dura en su cargo el presidente del Mercosur?,6 meses,4 años,1 año,"La presidencia del Mercosur es un cargo rotativo, es ocupada por un jefe de Estado de uno de los países miembros durante seis meses. "
8,Latinoamérica,¿En cuál de los siguientes países los proyectos de ley no caducan?,Brasil,Chile,Paraguay,"En Brasil los proyectos de ley no sólo no pierden vigencia, sino que tiene mecanismos para permitir que las iniciativas sobre temáticas similares confluyan."
9,Latinoamérica,¿Qué país de Centroamérica también elige presidente en 2023?,Guatemala,Costa Rica,El Salvador,"Guatemala elige presidente durante el 2023. El domingo 25 de junio 2023 votaron en primera vuelta. Ninguno de los candidatos logró alcanzar los votos necesario, por lo cual, el 20 de agosto, Sandra Torres de Unidad Nacional de la Esperanza (UNE)  y Bernardo Arévalo de Movimiento Semilla se enfrentarán en una segunda vuelta electoral."
10,Latinoamérica,¿Cuántos Congresos en Sudamérica tienen sólo una Cámara?,3,5,1,"Perú, Venezuela y Ecuador son los 3 países de Sudamérica con parlamentos unicamerales."
11,Latinoamérica,¿Cuál de los siguientes Congresos está compuesto por más legisladores?,Argentina,Chile,Colombia,Argentina tiene 329 legisladores a nivel nacional. Colombia tiene 280 y Chile 205.
12,Latinoamérica,"¿Qué significan las letras de AMLO, nombre con el que es conocido el presidente de México?",Andrés Manuel López Obrador,Antonio Marcos López Obrador,Armando Manuel López Obrador,"Andrés Manuel López Obrador, AMLO, fue electo presidente de México en 2018 con el 53.19% de los votos, 30 puntos más que quien salió segundo. "
