Pregunta Nº,Tema,Pregunta,Respuesta correcta,Respuesta incorrecta 1,Respuesta incorrecta 2,Descripción (mensaje que se obtiene al elegir la respuesta)
13,Latinoamérica,¿En qué país no existe la segunda vuelta electoral?,México,Colombia,Argentina,"En México las elecciones presidenciales se definen por cantidad de votos, la presidencia es de quien que supera en más de 1 voto a sus adversarios."
14,Latinoamérica,¿Quién es el presidente de Uruguay?,Luis Lacalle Pou,Pepe Mujica,Tabaré Vázquez,"Luis Lacalle Pou es el presidente de la República Oriental del Uruguay, desde marzo de 2020, luego de ganar por balotaje con el 50.79% de votos"
15,Latinoamérica,¿En cuál de los siguientes países los legisladores no pueden renunciar a sus bancas?,Perú,Argentina,Brasil,"Según la Constitución peruana, los cargos legislativos son irrenunciables."
16,Latinoamérica,¿Cuál es el primer país de la región en emitir su propia moneda virtual?,Venezuela,Cuba,El Salvador,"En el 2018 Venezuela fue el primer país de la región en emitir el Petro, su propia divisa virtual. "
17,Latinoamérica,¿Cuanto dura el mandato de los senadores en Brasil?,8,4,6,"En el Senado Federal, el mandato es de ocho (8) años, sin embargo, la representación de cada estado y del Distrito Federal será renovada cada cuatro años, de manera alternada entre uno y dos tercios."
18,Latinoamérica,¿Quién es el presidente de Chile?,Gabriel Boric,Michelle Bachelet,Sebastián Piñera,"Gabriel Boric es el presidente de la República de Chile, desde 2021, luego de ganar por balotaje con el 55.87 % de los votos. "
19,Latinoamérica,¿En qué país de América Latina el segundo candidato a presidente más votado obtiene como compensación una banca en el Senado?,Colombia,El Salvador,México,En el 2015 Colombia aprobó la Reforma de Equilibrio de Poderes según la cual la segunda pareja con más votos en las elecciones presidenciales obtiene dos bancas en el Senado.
20,Latinoamérica,"¿Qué presidente de la región se autodenominó ""el Dictador más cool del mundo mundial"" en Twitter? ",Nayib Bukele (El Salvador),Alejandro Giammattei (Guatemala),Daniel Ortega (Nicaragua),"Luego de una serie de manifestaciones en 2021, y ante quienes lo tildaron de ""dictador"", Nayib Bukele cambio su descripción en twitter. "
21,Latinoamérica,"¿El poder legislativo de que país se llama ""Asamblea Nacional del Poder Popular""?",Cuba,Venezuela,Nicaragua,"Según la Constitución cubana, la Asamblea Nacional del Poder Popular es el único poder del cual emana la soberanía en el país. "
22,Latinoamérica,¿Quién es el presidente de Cuba?,Miguel Díaz-Canel,Fidel Castro,Laurentino Cortizo,"Miguel Mario Díaz-Canel Bermúdez es presidente de Cuba desde octubre de 2019 y primer secretario del Partido Comunista de Cuba, ​ elegido por la Asamblea en sustitución de Raúl Castro."
23,Latinoamérica,"Tras asumir Lula Da Silva, ¿Que edificios de gobierno ocuparon ilegalmente un grupo de manifestantes simpatizantes a Bolsonaro?",Todas son correctas,El Congreso,El Palacio Presidencial de Planalto,"Los edificios ilegalmente ocupados fueron el Congreso, el Palacio Presidencial de Planalto, y el Tribunal Supremo, ubicados en Brasilia."
24,Latinoamérica,¿En qué países latinoamericanos no existe la figura de vicepresidente/a?,Chile y México,México y Panamá,Todos los países latinoamericanos tienen vicepresidente/a,"En Chile y México no existe la figura de Vicepresidencia. Por lo tanto, las sucesiones son mediadas por el órgano legislativo."
25,Latinoamérica,"¿Cuál fue el Jefe de Estado que ingresó al Congreso, interrumpiendo la sesión en la que se trataba un proyecto de su interés?",Nayib Bukele,Nicolás Maduro,Daniel Ortega,"En 2020,  Nayib Bukele ingresó a la Asamblea Nacional de El Salvador con tropas del Ejército Nacional para presionar a la oposición por la aprobación de un crédito para financiar su plan contra la delincuencia."
26,Latinoamérica,¿Qué presidente se presentará a la reelección a pesar de no estar habilitado constitucionalmente?,Nayib Bukele,Andrés Manuel López Obrador,Nicolás Maduro,Nayib Bukele hizo oficial que irá por la reelección pese a que la Constitución de su país se lo prohíbe. 
27,Latinoamérica,¿Qué mandatario cerró la Asamblea previo al comienzo de su Juicio Político?,Guillermo Lasso,Iván Duque,Nicolás Maduro,"Guillermo Lasso, presidente de Ecuador, disolvió la Asamblea Nacional y convocó a elecciones anticipadas argumentando ""crisis política y conmoción interna"". A este fenómeno se lo conoce como “muerte cruzada”."
28,Latinoamérica,¿Quién es el Presidente de Costa Rica?,Rodrigo Chaves,Alejandro Giammattei,Laurentino Cortizo,"Rodrigo Chaves es el presidente de Costa Rica desde el 8 de mayo de 2022 por un mandato de 4 años, hasta 2026."
29,Latinoamérica,¿Cuál de estos países no forma parte de la Comunidad Andina?,Chile,Perú,Ecuador,"Los integrantes de la Comunidad Andina son Colombia, Bolivia, Ecuador y Perú."
30,Latinoamérica,¿Cuál de estos países no forma parte de la Alianza del Pacífico?,Ecuador,Colombia,Chile,"Los integrantes de la Alianza del Pacífico son Chile, Colombia, Perú y México."
,,,,,,
1,Elecciones 2021,¿Por qué distrito es candidato Diego Santilli?,Buenos Aires,Ciudad de Buenos Aires,Santa Fe,Diego Santilli encabeza la lista de Diputados de Juntos por el Cambio. En 2019 fue electo vicejefe de la Ciudad de Buenos Aires.
2,Elecciones 2021,¿Por qué distrito es candidato Roberto Mirabella?,Santa Fe,Ciudad de Buenos Aires,Córdoba,Roberto Mirabella es candidato a diputado por la Provincia de Santa Fe. Actualemente es Senador del bloque del Frente de Todos.    
3,Elecciones 2021,¿Quién es presidente del Bloque del Frente de Todos en la Cámara de Diputados?,Máximo Kirchner,Mayra Mendoza,German Martinez,"German Martinez es el prsidente del Bloque, desde febrero de 2022."
4,Elecciones 2021,¿Por qué distrito fue senadora Cristina Fernández entre 2001 y 2005?,Santa Cruz,Buenos Aires,Ciudad de Buenos Aires,"Fue senadora por Santa Cruz. En el período anterior, entre 1997 y 2001, fue diputada nacional por el mismo distrito."
5,Elecciones 2021,¿Cuántas bancas pertenecen a la provincia de Buenos Aires en la Cámara de Diputados?,70,60,50,"Son 70 bancas, más que cualquier otro distrito. El número de diputados por distrito es proporcional a su población. Se eligen mediante el sistema proporcional D'Hont"
6,Elecciones 2021,¿Cuál de las siguientes provincias tiene más bancas en la Cámara de Diputados?,Entre Ríos,Santiago del Estero,Jujuy,"A la provincia de Entre Ríos le corresponden 9 bancas, mientras que a Santiago del Estero tiene 7 bancas y a Jujuy 6. "
7,Elecciones 2021,¿Por qué distrito es candidata Victoria Tolosa Paz?,Buenos Aires,Ciudad de Buenos Aires,Santa Fe,"Victoria Tolosa Paz encabeza la lista como candidata a diputada del Frente de Todos. Actualmente, es Secretaria Ejecutiva​ del Consejo Nacional de Coordinación de Políticas Sociales."
8,Elecciones 2021,¿Por qué distrito es candidata María Eugenia Vidal?,Ciudad de Buenos Aires,Buenos Aires,Córdoba,"María Eugenia Vidal encabeza la lista como candidata a diputada de Juntos por el Cambio en la Ciudad de Buenos Aires. Anteriormente, fue Gobernadora de la Provincia."
9,Elecciones 2021,¿Cómo se renuevan las bancas en el Senado?,Por Tercios,Por mitades,Se renueva por completo,El senado se renueva por tercios: 24 bancas cada 2 años.
10,Elecciones 2021,¿Cómo se renuevan las bancas en la Cámara de Diputados?,Por mitades,Por Tercios,Se renueva por completo,La Cámara de Diputados se renueva por mitades: 127 (o 130) bancas cada 2 años.
11,Elecciones 2021,¿Cuál de las siguientes provincias tiene más bancas en la Cámara de Diputados?,Entre Ríos,Santiago del Estero,Jujuy,"A la provincia de Entre Ríos le corresponden 9 bancas, mientras que a Santiago del Estero tiene 7 bancas y a Jujuy 6. "
12,Elecciones 2021,¿Cómo se renuevan las bancas en el Senado?,Por Tercios,Por mitades,Se renueva por completo,El senado se renueva por tercios: 24 bancas cada 2 años.
13,Elecciones 2021,¿Cómo se renuevan las bancas en la Cámara de Diputados?,Por mitades,Por Tercios,Se renueva por completo,La Cámara de Diputados se renueva por mitades: 127 (o 130) bancas cada 2 años.
14,Elecciones 2021,¿Quiénes de los siguientes grupos sociales no tienen la obligación de votar?,Mayores de 70 años,Médicos de guardia,Fuerzas de seguridad,Las personas mayores de 70 no reciben sanciones si no se presentan a votar.
15,Elecciones 2021,¿Cuál de estos documentos puedo presentar para votar?,DNI,Pasaporte,Partida de nacimiento,"Para votar se puede presentar el DNI que figura en el padrón o una versión posterior. También se aceptan la Libreta de Enrolamiento o la Libreta Cívica, si son los que figuran en el Padrón. "
16,Elecciones 2021,¿Cómo se financian las campañas electorales?,Aportes públicos y privados,Aportes públicos,Aportes privados,"En Argentina, las campañas electorales de los partidos políticos se financian con un modelo mixto por el cual los partidos obtienen financiamiento público y del sector privado."
17,Elecciones 2021,¿Cuál es la multa por no votar en las Primarias (PASO)?,50 pesos,500 pesos,5000 pesos,"La multa por no votar en un acto electoral es de cincuenta pesos ($50). Si no se registra tu voto ni en las primarias ni en las elecciones generales, la multa total es de ciento cincuenta pesos ($150)."
18,Elecciones 2021,¿Cuál es la pena si siendo autoridad de mesa no te presentás?,Prisión de 6 meses a 2 años,"Nada, no hay",Pagar una multa,"Si fuiste desgnada-o autoridad de mesa, presentarse es una obligación cívica.  No presentarse es un delito electoral que tiene una pena de prisión de seis meses a dos años."
19,Elecciones 2021,¿Cómo se llaman las personas designadas por los partidos políticos que están en las Mesas Electorales?,Fiscales,Suplentes,Partidistas,Las-os fiscales de mesa son designadas-os por los partidos políticos para controlar la elección. Su función es vigilar que se respete la Ley Electoral y cuidar las boletas de su partido.
20,Elecciones 2021,¿Las donaciones privadas a una campaña política tienen tope? ,Sí,No,Depende de la provincia,Sí. Los partidos no pueden recibir de una misma persona (humana o jurídica) un monto superior al dos por ciento (2%) de los gastos permitidos para la campaña.
21,Elecciones 2021,¿Todos los partidos reciben el mismo dinero por parte del Estado?,No,Sí,Depende de la provincia,"No. La Ley establece el reparto de los fondos públicos: el 50% de los fondos se distribuyen de forma igualitaria, y el otro 50% se distribuye en forma proporcional de acuerdo al resultado de la elección anterior."
22,Elecciones 2021,¿Cuánto dura el mandato de un/a diputado/a de la Nación?,4 años,6 años,5 años,Las y los diputados tienen un mandato de 4 años
23,Elecciones 2021,¿Cuánto dura el mandato de un/a senador/a de la Nación?,6 años,4 años,Vitalicio,Las y los senadores tienen un mandato de 6 años
24,Elecciones 2021,¿Las personas electas para el Congreso pueden ser reelectas?,Sí,No,Solo en Diputados,Las bancas en el Congreso Nacional pueden renovarse indefinidamente en ambas cámaras.
25,Elecciones 2021,¿Quién elige al presidente de la Cámara de Diputados?,la Cámara de Diputados,El presidente,El presidente con acuerdo de la Corte,La Presidencia de la Cámara de Diputados se vota entre las y los legisladores que integran el cuerpo. El presidente debe ser una persona con mandato vigente en la Cámara.
26,Elecciones 2021,¿Cuánto tiempo dura el mandato del diputado que es electo presidente de la Cámara de Diputados?,1 año,4 años,6 años,"La Presidencia de la Cámara de Diputados debe renovarse todos los años, con reelección indefinida."
27,Elecciones 2021,¿Cúantos bancas en la Cámara de Diputados renueva la provincia de Buenos Aires?,35,70,40,"Si bien la provincia de Buenos Aires tiene 70 bancas, cada dos años se renueva por mitades. Así, en 2021 se elegirán 35 bancas en la Cámara."
28,Elecciones 2021,¿Cuántos Diputados renueva la Ciudad Autónoma de Buenos Aires?,13,15,25,"Si bien la Ciudad de Buenos Aires tiene 25 bancas, cada dos años se renueva por mitades. Así, en 2021 se elegirán 13 bancas en la Cámara."
29,Elecciones 2021,¿Cuántas provincias eligen Diputados?,23,24,8,"Hay elecciones en 24  distritos electorales, pero solo 23 de ellos son provincias. Si bien coloquialmente se menciona a la Ciudad Autónoma de Buenos Aires como una provinca, estrictamente no lo es. Tramposa la pregunta, lo lamentamos."
30,Elecciones 2021,¿Cuántos senadores se eligen por la Ciudad Autónoma de Buenos Aires en 2021?,0,3,2,"Ninguno. La Ciudad Autónoma de Buenos Aires no elige senadores nacionales en 2021, sino en 2025."
,,,,,,
1,Ejecutivo,¿Cada cuantos años se vota presidente y vicepresidente?,4,6,2,Las elecciones para elegir presidente y vicepresidente se realizan consecutivamente cada 4 años. 
2,Ejecutivo,¿Cómo se eligen los ministros de un gobierno?,Los designa el presidente,Se votan junto con el presidente,Se votan en el Congreso,Los designa el presidente.
3,Ejecutivo,¿Cuántos años fue presidente Néstor Kirchner?,4,8,6,Néstor Kirchner fue presidente por 4 años. Desde el 25 de marzo de 2003 hasta el 10 de diciembre de 2007.
4,Ejecutivo,¿Bajo la presidencia de quién se re estatizó YPF?,Cristina Fernández de Kirchner,Nestor Kirchner,Mauricio Macri,"En 2012 Cristina Fernández puso en marcha ayer el plan oficial para que el Estado recupere el control de YPF, mediante la expropiación de un 51% de las acciones de la española Repsol. Fue el Congreso Nacional quien finalmente aprobó la re estatización."
5,Ejecutivo,¿Quién de estos políticos no fue presidente?,Patricia Bullrich,Eduardo Duhalde,Adolfo Rodríguez Saá,Patricia Bullrich no fue presidenta. Actualmente es una de las precandidatas por el espacio de Juntos por el Cambio. 
6,Ejecutivo,¿Cuántos presidentes tuvo Argentina desde la vuelta a la democracia en 1983?,11,8,12,"Tras el retorno de la democracia en 1983, Argentina ha tenido hasta el momento 11 presidentes. Cabe recordar que sobre el fin de 2001, la Argentina tuvo 5 presidentes en 11 días. "
7,Ejecutivo,¿Quién fue el presidente más joven argentina?,Nicolás Avellaneda ,Hipolito Yrigoyen,Nestor Kirchner,Nicolás Avellaneda fue el presidente más joven de Argentina asumiendo con 37 años.
8,Ejecutivo,¿Cuantos años fue presidente Raúl Alfonsín?,6,4,8,"Raúl Alfonsín fue presidente durante 6 años, de 1983 a 1989.. Su salida del poder se adelantó unos meses, con Carlos Menem ya electo presidente."
9,Ejecutivo,"Desde el retorno democrático, ¿quién de estos presidentes fue el que más tiempo gobernó? ",Carlos Menem,Cristina Fernández de Kirchner,Raul Alfonsin,El presidente que más tiempo gobernó desde el retorno democrático fue Carlos Menem. Estuvo en el cargo por 10 años y 5 meses.
10,Ejecutivo,¿Cuál de estos presidentes no es abogado?,Mauricio Macri,Raul Alfonsin,Nestor Kirchner,"Mauricio Macri no es abogado, estudió Ingeniería Civil."
11,Ejecutivo,¿Que ministro de Economía impulsó el Plan de Convertibilidad? ,Domingo Cavallo,Ricardo Lopez Murphy,Roberto Lavagna,"La Ley de Convertibilidad fue sancionada en 1991 por el Congreso de Argentina, durante el gobierno de Carlos Menem, bajo la iniciativa del entonces Ministro de Economía Domingo Cavallo."
12,Ejecutivo,¿Cuál fue el primer presidente constitucional de Argentina?,Justo José de Urquiza, Hipólito Yrigoyen,Juan Manuel de Rosas,"En 1854 Justo José de Urquiza fue electo como primer presidente de la Confederación Argentina, cargo que ocupó por seis años, por lo que también se convirtió así en el primer presidente constitucional argentino."
13,Ejecutivo,¿Cuántos mandatos presidenciales consecutivos puede cumplir una persona en Argentina?,2,3,1,"Una presidente puede ejercer dos mandatos de 4 años, es decir, que puede ser reelecto consecutivamente una sola vez. "
14,Ejecutivo,¿En qué año se celebraron las primeras elecciones presidenciales en Argentina con el voto secreto y obligatorio?,1916,1816,1853,"El domingo 2 de abril de 1916,  tras la sanción en 1912 de la Ley Sáenz Peña que estableció el voto, secreto y obligatorio, fue la primera vez que los argentinos eligieron presidente en las urnas"
15,Ejecutivo,¿Cuál es el requisito de edad mínima para ser presidente en Argentina?,30 años,35 años,40 años,"Según el artículo 55 de la Constitución, la edad mínima para postularse a Presidente es de de 30 años."
16,Ejecutivo,¿Quien de estos no fue parte de los 4 presidentes que hubo en 11 días durante el 2001 tras la renuncia de Fernando De La Rúa?,Carlos Álvarez,Eduardo Duhalde,Adolfo Rodríguez Saá,"El 20 de diciembre de 2001 renunció a su cargo Fernando de la Rúa, tras su salida, le sucedieron cuatro presidentes en once días: Ramón Puerta, Adolfo Rodríguez Saá, Eduardo Camaño y Eduardo Duhalde."
17,Ejecutivo,¿Cuál fue el presidente que anunció la salida del Plan de Convertibilidad?,Eduardo Duhalde,Nestor Kirchner ,Fernando De La Rua, Eduardo Duhalde en enero del 2002 anunció el fin de la Convertibilidad luego de casi 11 años de vigencia.
18,Ejecutivo,¿Quién fue el primer presidente argentino en ser reelecto después de la reforma constitucional de 1994?,Carlos Menem,Cristina Fernández de Kirchner,Néstor Kirchner,"Tras la reforma de la Constitución en 1994 que instauró nuevamente el período de cuatro años con una reelección, Menem logró ser reelecto hasta 1999. "
19,Ejecutivo,¿Bajo la Presidencia de quién se estableció el voto femenino en el país?,Juan Domingo Perón, Hipólito Yrigoyen,Raúl Alfonsín,"El 23 de septiembre de 1947, bajo el primer Gobierno de Juan Domingo Perón (1946-1955) se promulgó la ley que permitía a las mujeres argentinas ejercer su derecho al voto. "
20,Ejecutivo,¿Quién fue el primer presidente argentino en asumir el cargo tras la vuelta a la democracia en 1983?,Raúl Alfonsín,Carlos Menem,Juan Domingo Perón,"Raúl Alfonsín obtiene el 51% de los votos y el 10 de diciembre de 1983 asume como presidente, instaurando el periodo democrático que continua hasta la actualidad."
21,Ejecutivo,"¿Qué presidente argentino fue el impulsor del programa ""Fútbol para Todos""?",Cristina Fernández de Kirchner, Mauricio Macri,Néstor Kirchner, Fútbol para Todos fue creado en 2009 durante la presidencia de Cristina Fernández de Kirchner.
22,Ejecutivo,¿Quién fue el presidente argentino que restableció las relaciones diplomáticas con el Reino Unido después de la Guerra de las Malvinas?,Carlos Menem, Raúl Alfonsín,Fernando de la Rúa,"En 1998, Carlos Menem se reunió con la Reina Isabel II y fue el primer presidente en visitar Londres luego del estallido del conflicto bélico por las Islas Malvinas en 1982."
23,Ejecutivo,¿Por qué provincia fue reelecto Gildo Insfrán en 2023? ,Formosa,Chaco,Rio Negro,Gildo Insfrán fue reelecto  en la provincia de Formosa por octavo mandato consecutivo.
24,Ejecutivo,¿Cuál es la diferencia de votos que debe obtener un candidato para convertirse el presidente?,Ambas son correctas. ,El 40%  de los votos y una distancia de un 10 % respecto al segundo lugar.,El 45% del total de los votos,"Ambas son correctas. Según el Código Electoral Nacional: ""La fórmula que obtuviese más del 45 % de los votos se convertirá en ganadora en la primera vuelta. En su defecto, aquella que alcance el 40% y se distancie por -al menos- un 10 % respecto de la lista que quede en el segundo lugar""."
25,Ejecutivo,¿Cuál de estos fundadores de la Unión Cívica de la Juventud fue luego presidente del país?,Carlos Pellegrini ,Leandro N. Alem,Bernardo de Irigoyen,"Pellegrini asumió la presidencia del país luego de la renuncia de Miguel Juárez Celman tras los sucesos conocidos como Revolución del Parque. Pellegrini, que ocupaba la vicepresidencia, asumió hasta completar el mandato en 1892."
27,Ejecutivo,¿Cuál  de estos presidentes murió en funciones?,Ambas son correctas. ,Manuel Quintana,Juan Domingo Peron,"Ambas son correctas. Fueron 4 los presidentes que fallecieron en funciones: Manuel Quintana, Roberto Maria Ortiz, Roque Sáenz Peña y Juan Domingo Perón. "
28,Ejecutivo,¿Quién fue la primera mujer presidente de Argentina?,María Estela Martínez de Perón,Cristina Fernández de Kirchner ,Maria Eugenia Vidal,"María Estela Martínez de Perón, electa vicepresidenta, asumió la presidencia constitucional en 1974 tras el fallecimiento del presidente Perón."
29,Ejecutivo,¿Cuántos años gobernó Eduardo Duhalde?,1,3,4,Duhalde gobernó por un año y 5 meses: desde el 2 de enero de 2002 al 25 de mayo de 2003.
30,Ejecutivo,"¿Qué presidente fue apodado como ""la tortuga""?",Arturo Illia,Fernando De La Rua,Arturo Frondizi,"Arturo Illia fue apodado ""La Tortuga"" debido a una caricatura realizada por el dibujante Landrú que lo retrató como un presidente ""lento"". "
,,,,,,
1,Elecciones 2023,¿Quién es presidente del Bloque del Frente de Todos en la Cámara de Diputados? ,Germán Martínez, Mayra Mendoza ,Máximo Kirchner,"Germán Martínez es el presidente del Bloque, desde febrero de 2022. Sucedió en el cargo a Máximo Kirchner que renunció al cargo."
2,Elecciones 2023,¿Cuántas provincias eligen Diputados?,23,24,8,"Hay elecciones en 24 distritos electorales, pero sólo 23 de ellos son provincias. Si bien coloquialmente se menciona a la Ciudad Autónoma de Buenos Aires como una provincia, estrictamente no lo es. Tramposa la pregunta, lo lamentamos."
3,Elecciones 2023,¿Cuántas provincias eligen Senadores?,8,11,6,"Son 8 las provincias que renuevan senadores este 2023. Las provincias que deben elegir a sus representantes son Buenos Aires, Formosa, Jujuy, Misiones, La Rioja, San Luis, San Juan y Santa Cruz."
4,Elecciones 2023,¿Por qué distrito fue senadora Cristina Fernández entre 2001 y 2005?,Santa Cruz,Buenos Aires,Ciudad Autónoma de Buenos Aires,"Fue senadora por Santa Cruz. En el período anterior, entre 1997 y 2001, fue diputada nacional por el mismo distrito."
5,Elecciones 2023,¿Cuántas bancas pertenecen a la provincia de Buenos Aires en la Cámara de Diputados?,70,60,50,"Son 70 bancas, se renuevan 35 cada 2 años, más que cualquier otro distrito. El número de diputados por distrito es proporcional a su población y la ley establece que se actualiza cada vez que hay un censo. "
6,Elecciones 2023,¿Cuál de las siguientes provincias tiene más bancas en la Cámara de Diputados?,Mendoza,Entre Ríos,Jujuy,"A la provincia de Mendoza le corresponden 10 bancas, mientras que a Entre Ríos tiene 9 bancas y a Jujuy 6. "
7,Elecciones 2023,¿Cómo se renuevan las bancas en el Senado?,Por tercios,Por mitades,Se renueva por completo,El senado se renueva por tercios: 24 bancas cada 2 años.
8,Elecciones 2023,¿Cómo se renuevan las bancas en la Cámara de Diputados?,Por mitades,Por Tercios,Se renueva por completo,La Cámara de Diputados se renueva por mitades: 127 (o 130) bancas cada 2 años. En 2023 se renuevan 130 bancas.
9,Elecciones 2023,¿Quiénes de los siguientes grupos sociales no tienen la obligación de votar?,Mayores de 70 años,Médicos de guardia,Fuerzas de seguridad,"Las personas mayores de 70 no reciben sanciones si no se presentan a votar, su voto es optativo."
10,Elecciones 2023,¿Cuál de estos documentos puedo presentar para votar?,DNI,Pasaporte,Partida de nacimiento,"Para votar se puede presentar el DNI que figura en el padrón o una versión posterior. También se aceptan la Libreta de Enrolamiento o la Libreta Cívica, si son los que figuran en el Padrón y DNI tarjeta (incluso el que dice “no válido para votar”)."
11,Elecciones 2023,¿Cómo se financian las campañas electorales?,Aportes públicos y privados,Aportes públicos,Aportes privados,"En Argentina, las campañas electorales de los partidos políticos se financian con un modelo mixto por el cual los partidos obtienen financiamiento público y del sector privado."
12,Elecciones 2023,¿Cuál es la multa por no votar en las Primarias (PASO)?,50 pesos,500 pesos,5000 pesos,"La multa por no votar en las Primarias es de cincuenta pesos ($50). Si no se registra tu voto ni en las primarias ni en las elecciones generales, la multa total es de ciento cincuenta pesos ($150). Quienes no paguen la multa no podrán realizar gestiones y/o trámites ante organismos estatales por un año."
13,Elecciones 2023,¿Cuál es la pena si siendo autoridad de mesa no te presentás?,Prisión de 6 meses a 2 años,"Nada, no hay",Pagar una multa,"Si fuiste designada-o autoridad de mesa, presentarse es una obligación cívica.  No presentarse es un delito electoral que tiene una pena de prisión de seis meses a dos años."
14,Elecciones 2023,¿Cómo se llaman las personas designadas por los partidos políticos que están en las Mesas Electorales?,Fiscales,Suplentes,Partidistas,Las-os fiscales de mesa son designadas-os por los partidos políticos para controlar la elección. Su función es vigilar que se respete la Ley Electoral y cuidar las boletas de su partido.
15,Elecciones 2023,¿Las donaciones privadas a una campaña política tienen tope? ,Sí,No,Depende de la provincia,Sí. Los partidos no pueden recibir de una misma persona (humana o jurídica) un monto superior al dos por ciento (2%) de los gastos permitidos para la campaña.
16,Elecciones 2023,¿Todos los partidos reciben el mismo dinero por parte del Estado?,No,Sí,Depende de la provincia,"No. La Ley establece el reparto de los fondos públicos: el 50% de los fondos se distribuyen de forma igualitaria, y el otro 50% se distribuye en forma proporcional de acuerdo al resultado de la elección anterior."
17,Elecciones 2023,¿Cuánto dura el mandato de un/a diputado/a de la Nación?,4 años,6 años,5 años,Las y los diputados tienen un mandato de 4 años.
18,Elecciones 2023,¿Cuánto dura el mandato de un/a senador/a de la Nación?,6 años,4 años,Vitalicio,Las y los senadores tienen un mandato de 6 años.
19,Elecciones 2023,¿Las personas electas para el Congreso pueden ser reelectas?,Sí,No,Solo en Diputados,Las bancas en el Congreso Nacional pueden renovarse indefinidamente en ambas cámaras.
20,Elecciones 2023,¿Quién elige al presidente de la Cámara de Diputados?,La Cámara de Diputados,El presidente,El presidente con acuerdo de la Corte,La Presidencia de la Cámara de Diputados se vota entre las y los legisladores que integran el cuerpo. El presidente debe ser una persona con mandato vigente en la Cámara.
21,Elecciones 2023,¿Cuánto tiempo dura el mandato del diputado que es electo presidente de la Cámara de Diputados?,1 año,4 años,6 años,"La Presidencia de la Cámara de Diputados debe renovarse todos los años, con reelección indefinida."
22,Elecciones 2023,¿Cuántos bancas en la Cámara de Diputados renueva la provincia de Buenos Aires cada 2 años?,35,70,40,"Si bien la provincia de Buenos Aires tiene 70 bancas, cada dos años se renueva por mitades. Así, en 2023 se elegirán 35 bancas en la Cámara."
23,Elecciones 2023,¿Cuántos diputados renueva la Ciudad Autónoma de Buenos Aires en 2023?,12,15,25,"Si bien la Ciudad de Buenos Aires tiene 25 bancas, cada dos años se renueva por mitades. Así, en 2023 se elegirán 12 bancas en la Cámara."
24,Elecciones 2023,¿Cuántos diputados renueva la provincia de Santa Fe?,10,8,12,"Del total de 19  bancas de diputados que le corresponden, la provincia de Santa Fe renovará 10 bancas en 2023."
25,Elecciones 2023,¿Cuántos senadores se eligen por la Ciudad Autónoma de Buenos Aires en 2023?,0,3,2,"La Ciudad Autónoma de Buenos Aires no elegirá en 2023 senadores. Las 3 bancas correspondiente al distrito se renovarán en 2025.
"
26,Elecciones 2023,"¿Por qué distrito se postula Eduardo ""Wado"" de Pedro?",Buenos Aires,Córdoba ,Santa Fe,"Eduardo ""Wado"" de Pedro es pre candidato a senador por la provincia de Buenos Aires."
27,Elecciones 2023,¿Por qué distrito se postula Miguel Ángel Pichetto?,Buenos Aires,Río Negro,Ciudad Autónoma de Buenos Aires,Miguel Ángel Pichetto es precandidato a diputado por la provincia de Buenos Aires.
28,Elecciones 2023,¿Por qué distrito se postula Germán Martínez?,Santa Fe,San Luis,Córdoba ,Germán Martínez es precandidato a diputado por el distrito de Santa Fe.
29,Elecciones 2023,¿Por qué frente se presenta Sergio Massa como precandidato a presidente?,Unión por la Patria,Frente de Todos,Frente Renovador,Sergio Massa se presenta en el Frente Unión por la Patria.
30,Elecciones 2023,¿Quien acompaña en la precandidatura a la vicepresidencia en la fórmula encabezada por Patricia Bullrich?,Luis Petri,Gerardo Morales,Elisa Carrió,Luis Petri es el precandidato a vicepresidente en la fórmula encabezada por Patricia Bullrich.